Model,Displ,Cyl,Drive,Veh.Class,Air.Pollution.Score,City.MPG,Hwy.MPG,Greenhouse.Gas.Score,Comb.CO2
ACURA ILX,2.4,4,2WD,small car,3,24,34,6,316
ACURA MDX,3.5,6,2WD,small SUV,5,19,26,5,411
ACURA MDX,3.5,6,4WD,small SUV,5,19,25,4,423
ACURA MDX Type-S,3,6,4WD,standard SUV,5,17,21,4,474
ACURA NSX,3.5,6,4WD,small car,3,21,22,4,420
ACURA RDX,2,4,2WD,small SUV,6,22,28,5,370
ACURA RDX,2,4,4WD,small SUV,6,21,27,5,385
ACURA RDX A-SPEC,2,4,2WD,small SUV,6,22,27,5,375
ACURA RDX A-SPEC,2,4,4WD,small SUV,6,21,26,5,388
ACURA TLX,2,4,2WD,small car,7,22,31,5,352
ACURA TLX,2,4,4WD,small car,7,21,29,5,369
ACURA TLX AWD A-SPEC,2,4,4WD,small car,7,21,29,5,371
ACURA TLX FWD A-SPEC,2,4,2WD,small car,7,22,30,5,357
ACURA TLX Type-S,3,6,4WD,small car,5,19,25,4,420
ACURA TLX Type-S Perf Tire,3,6,4WD,small car,5,19,24,4,421
ALFA ROMEO Giulia,2,4,2WD,midsize car,5,24,33,6,330
ALFA ROMEO Giulia,2,4,2WD,midsize car,3,24,33,6,330
ALFA ROMEO Giulia,2.9,6,2WD,midsize car,3,17,25,4,436
ALFA ROMEO Giulia AWD,2,4,4WD,midsize car,5,23,31,5,348
ALFA ROMEO Giulia AWD,2,4,4WD,midsize car,3,23,31,5,348
ALFA ROMEO Stelvio,2,4,2WD,small SUV,5,22,29,5,359
ALFA ROMEO Stelvio,2,4,2WD,small SUV,3,22,29,5,359
ALFA ROMEO Stelvio AWD,2,4,4WD,small SUV,5,22,28,5,364
ALFA ROMEO Stelvio AWD,2,4,4WD,small SUV,3,22,28,5,364
ALFA ROMEO Stelvio AWD,2.9,6,4WD,small SUV,3,17,23,4,463
ASTON MARTIN DB11 V12,5.2,12,2WD,small car,3,14,22,3,522
ASTON MARTIN DB11 V8,4,8,2WD,small car,5,18,24,4,431
ASTON MARTIN DBS,5.2,12,2WD,small car,3,14,22,3,522
ASTON MARTIN DBX V8,4,8,4WD,standard SUV,5,14,20,3,556
ASTON MARTIN Vantage,4,8,2WD,small car,5,18,24,4,435
AUDI A3,2,4,2WD,small car,7,29,38,7,273
AUDI A3,2,4,4WD,small car,7,28,36,7,286
AUDI A4,2,4,4WD,small car,5,26,34,6,307
AUDI A4 S line quattro,2,4,4WD,small car,5,24,31,6,332
AUDI A4 allroad quattro,2,4,4WD,station wagon,5,24,30,5,335
AUDI A5,2,4,4WD,small car,5,24,31,6,332
AUDI A5 Cabriolet,2,4,4WD,small car,5,23,31,5,345
AUDI A5 Sportback S line quattro,2,4,4WD,midsize car,5,24,31,6,332
AUDI A5 Sportback quattro,2,4,4WD,midsize car,5,26,34,6,307
AUDI A6,2,4,4WD,midsize car,5,23,32,5,335
AUDI A6,3,6,4WD,midsize car,5,21,30,5,361
AUDI A6 Allroad quattro,3,6,4WD,station wagon,5,21,28,5,377
AUDI A7,3,6,4WD,midsize car,5,21,30,5,361
AUDI A8 L quattro,3,6,4WD,large car,5,19,28,5,399
AUDI Q3,2,4,4WD,small SUV,7,23,30,5,346
AUDI Q3 S line quattro,2,4,4WD,small SUV,7,21,28,5,375
AUDI Q5 S line quattro,2,4,4WD,small SUV,5,23,28,5,354
AUDI Q5 Sportback S line quattro,2,4,4WD,small SUV,5,23,28,5,354
AUDI Q5 quattro,2,4,4WD,small SUV,5,23,29,5,349
AUDI Q7 quattro,2,4,4WD,standard SUV,3,20,25,5,406
AUDI Q7 quattro,3,6,4WD,standard SUV,5,18,23,4,440
AUDI Q8 quattro,3,6,4WD,standard SUV,5,18,23,4,440
AUDI R8 Coupe,5.2,10,2WD,small car,1,14,23,3,518
AUDI R8 Coupe,5.2,10,4WD,small car,1,13,19,2,572
AUDI R8 Spyder,5.2,10,2WD,small car,1,14,23,3,518
AUDI R8 Spyder,5.2,10,4WD,small car,1,13,19,2,572
AUDI RS 5 Coupe,2.9,6,4WD,small car,5,18,25,4,430
AUDI RS 5 Sportback,2.9,6,4WD,midsize car,5,18,25,4,431
AUDI RS 6 Avant,4,8,4WD,station wagon,3,15,22,3,514
AUDI RS 7,4,8,4WD,midsize car,3,15,22,3,507
AUDI RS Q8,4,8,4WD,standard SUV,3,13,19,2,579
AUDI RS3,2.5,5,4WD,small car,3,20,29,5,383
AUDI S3,2,4,4WD,small car,5,23,32,6,331
AUDI S4,3,6,4WD,small car,5,21,30,5,363
AUDI S5 Cabriolet,3,6,4WD,small car,5,21,28,5,375
AUDI S5 Coupe,3,6,4WD,small car,5,21,30,5,363
AUDI S5 Sportback,3,6,4WD,midsize car,5,21,30,5,363
AUDI S6,2.9,6,4WD,midsize car,5,18,28,5,408
AUDI S7,2.9,6,4WD,midsize car,5,18,28,5,408
AUDI S8,4,8,4WD,large car,3,14,23,3,520
AUDI SQ5,3,6,4WD,small SUV,5,19,24,4,422
AUDI SQ5 Sportback,3,6,4WD,small SUV,5,19,24,4,422
AUDI SQ7,4,8,4WD,standard SUV,3,15,21,3,522
AUDI SQ8,4,8,4WD,standard SUV,3,15,21,3,522
AUDI TT Coupe,2,4,4WD,small car,7,23,30,5,346
AUDI TT RS Coupe,2.5,5,4WD,small car,3,20,29,5,377
AUDI TT Roadster,2,4,4WD,small car,7,23,30,5,346
AUDI TTS Coupe quattro,2,4,4WD,small car,3,23,31,5,337
BENTLEY Bentayga,4,8,4WD,standard SUV,3,15,24,3,497
BENTLEY Bentayga Speed,6,12,4WD,standard SUV,3,12,18,2,616
BENTLEY Chiron,8,16,4WD,small car,1,9,14,1,840
BENTLEY Continental GT,4,8,4WD,small car,3,16,26,4,462
BENTLEY Continental GT Speed,6,12,4WD,small car,3,12,20,2,610
BENTLEY Continental GT Speed Convert.,6,12,4WD,small car,3,12,18,2,636
BENTLEY Continental GT V8 Convertible,4,8,4WD,small car,3,16,26,4,473
BENTLEY Flying Spur,4,8,4WD,midsize car,3,15,20,3,520
BENTLEY Flying Spur,6,12,4WD,midsize car,3,12,19,2,601
BMW 228i Gran Coupe,2,4,2WD,small car,7,24,34,6,314
BMW 228i xDrive Gran Coupe,2,4,4WD,small car,7,23,33,6,329
BMW 230i Coupe,2,4,2WD,small car,3,26,35,6,300
BMW 330i,2,4,2WD,small car,7,26,36,6,298
BMW 330i,2,4,4WD,small car,7,25,34,6,314
BMW 430i Convertible,2,4,2WD,small car,7,25,34,6,312
BMW 430i Convertible,2,4,4WD,small car,7,23,33,6,327
BMW 430i Coupe,2,4,2WD,small car,7,25,34,6,312
BMW 430i Coupe,2,4,4WD,small car,7,23,33,6,327
BMW 430i Gran Coupe,2,4,2WD,small car,7,25,34,6,312
BMW 530i,2,4,2WD,midsize car,7,25,33,6,313
BMW 530i,2,4,4WD,midsize car,7,23,32,5,332
BMW 540i,3,6,2WD,midsize car,5,25,32,6,322
BMW 540i,3,6,4WD,midsize car,5,22,29,5,352
BMW 740i,3,6,2WD,large car,3,22,29,5,360
BMW 740i,3,6,4WD,large car,3,20,27,5,388
BMW 750i,4.4,8,4WD,large car,3,17,24,4,454
BMW 840i Convertible,3,6,2WD,small car,3,22,29,5,360
BMW 840i Coupe,3,6,2WD,small car,3,23,30,5,347
BMW 840i Gran Coupe,3,6,2WD,midsize car,3,22,29,5,360
BMW 840i xDrive Convertible,3,6,4WD,small car,3,20,27,5,388
BMW 840i xDrive Coupe,3,6,4WD,small car,3,20,27,5,388
BMW 840i xDrive Gran Coupe,3,6,4WD,midsize car,3,20,27,5,388
BMW ALPINA B7,4.4,8,4WD,large car,3,17,24,4,454
