county_name,county_pop2000,statename,stateabbrv,racial_segregation,inequality,poverty_rate,top_1per_income_share,frac_middleclass,unemp_rate,pop_change_80_2000,migration_inflow,migration_outflow,mean_household_income,median_house_value,percent_college_degree,crime_rate
Dickinson,19344,Kansas,KS,0.0208697,0.2945393,0.075396,0.08807,0.68757,0.0399519,-0.0411896,0.030862283,0.029414806,35838.94,83712.4,15.2,0.0068755
Doniphan,8249,Kansas,KS,0.0299045,0.2540171,0.1188802,0.05629,0.71314,0.0778192,-0.1099482,0.022911868,0.032246333,28502.6,72915.1,14.8,0.002667
Douglas,99962,Kansas,KS,0.0405535,0.3798018,0.1585439,0.09382,0.52962,0.032775,0.4778533,0.036703948,0.041215662,31728.92,157027.4,42.7,0.0004802
Edwards,3449,Kansas,KS,0.0105711,0.2382542,0.1037234,0.04758,0.7076,0.0284698,-0.1924608,0.008988113,0.008408234,36442.06,48387.9,16.3,0.0005799
Elk,3261,Kansas,KS,0,0.2986925,0.1376697,0.02775,0.54472,0.0533063,-0.1676876,0,0.012879485,34962.61,32925.1,10.6,0.0024532
Ellis,27507,Kansas,KS,0.0395987,0.3274183,0.1290507,0.08617,0.641,0.029191,0.0539888,0.020467517,0.024030247,32638.02,113971.5,29.2,0.0085433
Ellsworth,6525,Kansas,KS,0.0335755,0.2816563,0.0720309,0.05937,0.67704,0.0347134,-0.0173193,0.010114943,0.006283525,30182.83,57852.2,16.4,0.005977
Finney,40523,Kansas,KS,0.1007355,0.3913378,0.1422861,0.09322,0.58494,0.0714781,0.7008604,0.013942699,0.024381216,29226.38,111705.4,14.3,0.013918
Ford,32458,Kansas,KS,0.0948929,0.4012989,0.1239779,0.08711,0.57002,0.0315789,0.3348961,0.014480251,0.018516236,30300.34,92243.6,16.4,0.0081644
Franklin,24784,Kansas,KS,0.0371394,0.2718178,0.0768689,0.04922,0.65658,0.0487915,0.1233796,0.034538412,0.032238541,32982.03,98375.4,16.5,0.0054067
Geary,27947,Kansas,KS,0.0432536,0.2863063,0.120832,0.04537,0.64125,0.0557751,-0.0638148,0.070526354,0.098829928,29961.83,92510.2,17.1,0.0092318
Gove,3068,Kansas,KS,0.0153832,0.3007978,0.1031851,0.05922,0.71176,0.0262295,-0.1765969,,,39258.1,64117.3,18.4,0.0022816
Graham,2946,Kansas,KS,0.0026314,0.2451269,0.1150657,0.03531,0.70833,0.033261,-0.2625782,0,0.00712831,36775.47,55052.9,17.4,0.0010183
Grant,7909,Kansas,KS,0.0066993,0.2671925,0.1005508,0.03875,0.61951,0.028671,0.1335818,0.005942597,0.004551777,33595.86,104773.8,15.2,0.0050575
Gray,5904,Kansas,KS,0.0006181,0.310753,0.0908144,0.0787,0.68634,0.0262898,0.1490853,0.016937669,0.021172087,37445.99,101308,16.3,0.0005081
Greeley,1534,Kansas,KS,0,,0.1157685,,0.75,0.0351317,-0.1685637,,,41746.06,76914.1,17.4,0.0006519
Greenwood,7673,Kansas,KS,0.0100439,0.4078906,0.1251004,0.19194,0.67656,0.051676,-0.1244865,0.014335983,0.022676919,33458.93,47054.9,14.5,0.0023459
Hamilton,2670,Kansas,KS,0,0.2783441,0.1566311,0.07659,0.72222,0.0299213,0.0620525,,,34416.25,79180.2,17.4,0.0018727
Harper,6536,Kansas,KS,0.0122658,0.300436,0.115536,0.0704,0.63918,0.0369181,-0.1596812,0.012086903,0.018359853,34630.61,58785.3,14,0.001071
Harvey,32869,Kansas,KS,0.0466862,0.2896142,0.0641332,0.06858,0.63055,0.0348219,0.0765779,0.024308619,0.026042776,36754.16,101841.2,23,0.0049274
Haskell,4307,Kansas,KS,0,0.2753057,0.1161427,0.06043,0.7037,0.028613,0.1292606,0.006501045,0.021592756,35064.31,101441.3,17.5,0.0018574
Hodgeman,2085,Kansas,KS,0,,0.1152344,,0.72727,0.0328042,-0.081093,0.010551559,0.015347722,33074.89,59985,19.7,0.0009592
Jackson,12657,Kansas,KS,0.066984,0.23159,0.0880549,0.033,0.68327,0.0443386,0.0869976,0.0422691,0.03381528,36670.41,93576.6,15.4,0.0029233
Jefferson,18426,Kansas,KS,0.003807,0.2353359,0.0671884,0.04041,0.67961,0.0413257,0.2116788,0.044230978,0.041788777,36419.64,110772.3,17.9,0.0029849
Jewell,3791,Kansas,KS,0.0127058,0.241321,0.1164659,0.0439,0.63871,0.0293638,-0.2766648,0,0.009232393,35658.7,31992,13.8,0.0005276
Johnson,451086,Kansas,KS,0.0475427,0.3275166,0.0343635,0.16334,0.37546,0.0382367,0.669026,0.053224884,0.047261498,55932.45,200083.3,47.7,0.0037425
Kearny,4531,Kansas,KS,0,0.3186518,0.1170546,0.10182,0.62632,0.0330408,0.3190684,0.015890532,0.019201059,31830.89,103307.5,15,0.0030898
Kingman,8673,Kansas,KS,0.0178498,0.2774315,0.1061413,0.04585,0.69509,0.0364459,-0.0320312,0.019716361,0.033552404,38366.45,75714.4,17.8,0.0016142
